ID,GENDER,BATCH_CODE,MODE,MACHINE_LEARNING_79,PERCENTAGE_MACHINE_LEARNING,NLP_34,PERCENTAGE_NLP,NUMPY_79,PERCENTAGE_NUMPY,OUTPUT,TARGET
193,Female,DW33,WD,66,86.84210526,33,97.05882353,64,83.11688312,89.0059373,1
194,Female,DW33,WD,71,92.20779221,33,97.05882353,71,92.20779221,93.82480265,1
195,Female,D14AB,WE,65,82.27848101,26,76.47058824,66,83.5443038,80.76445768,1
196,Female,D14AB,WE,65,82.27848101,28,82.35294118,67,84.81012658,83.14718292,1
197,Male,D14AB,WE,75,94.93670886,32,94.11764706,74,93.67088608,94.24174733,1
198,Female,D16,WE,61,77.21518987,33,97.05882353,68,86.07594937,86.78332092,1
199,Female,D16,WE,71,89.87341772,29,85.29411765,55,69.62025316,81.59592951,1
200,Male,D17,WE,75,94.93670886,34,100,77,97.46835443,97.46835443,1
201,Female,D17,WE,51,64.55696203,13,38.23529412,57,72.15189873,58.31471829,0
202,Male,D17,WE,59,74.6835443,34,100,62,78.48101266,84.38818565,1
203,Female,D18,WE,53,67.08860759,32,94.11764706,46,58.2278481,73.14470092,0
204,Female,D18,WE,59,74.6835443,33,97.05882353,71,89.87341772,87.20526185,1
205,Male,D19,WE,73,92.40506329,30,88.23529412,74,93.67088608,91.43708116,1
206,Female,D19,WE,69,87.34177215,31,91.17647059,72,91.13924051,89.88582775,1
207,Female,D19,WE,51,64.55696203,18,52.94117647,63,79.74683544,65.74832465,0
208,Female,D20,WE,74,93.67088608,30,88.23529412,71,89.87341772,90.59319931,1
209,Female,D20,WE,67,84.81012658,34,100,75,94.93670886,93.24894515,1
210,Male,D20,WE,50,63.29113924,15,44.11764706,58,73.41772152,60.27550261,0
211,Female,D20,WE,73,92.40506329,33,97.05882353,75,94.93670886,94.80019856,1
212,Male,D21,WE,67,84.81012658,30,88.23529412,75,94.93670886,89.32737652,1
213,Female,D21,WE,65,82.27848101,33,97.05882353,73,92.40506329,90.58078928,1
214,Male,D22,WE,65,82.27848101,32,94.11764706,49,62.02531646,79.47381484,0
215,Female,D22,WE,59,74.6835443,30,88.23529412,65,82.27848101,81.73243981,1
216,Female,D24,WE,53,69.73684211,28,82.35294118,57,72.15189873,74.74722734,0
217,Male,D24,WE,64,84.21052632,32,94.11764706,61,77.21518987,85.18112108,1
218,Male,D25,WE,50,65.78947368,24,70.58823529,51,64.55696203,66.97822367,0
219,Male,D25,WE,53,69.73684211,34,100,59,74.6835443,81.47346214,1
220,Male,D25,WE,68,89.47368421,32,94.11764706,72,91.13924051,91.57685726,1
221,Male,D26,WE,57,75,32,94.11764706,58,73.41772152,80.84512286,1
222,Female,D26,WE,64,84.21052632,33,97.05882353,67,84.81012658,88.69315881,1
223,Female,D27,WE,62,81.57894737,34,100,77,97.46835443,93.01576727,1
224,Male,D27,WE,62,81.57894737,33,97.05882353,68,86.07594937,88.23790675,1
225,Female,D27,WE,59,77.63157895,16,47.05882353,64,81.01265823,68.5676869,0
226,Female,D27,WE,58,76.31578947,31,91.17647059,61,77.21518987,81.56914998,1
227,Male,D27,WE,63,82.89473684,28,82.35294118,52,65.82278481,77.02348761,0
228,Female,D27,WE,49,64.47368421,19,55.88235294,60,75.94936709,65.43513475,0
229,Male,D30,WE,25,32.89473684,17,50,54,68.35443038,50.41638907,0
230,Female,D30,WE,52,68.42105263,33,97.05882353,50,63.29113924,76.25700513,0
231,Female,D30,WE,51,67.10526316,32,94.11764706,59,74.6835443,78.63548484,0
232,Male,D30,WE,55,72.36842105,31,91.17647059,61,77.21518987,80.2533605,1
233,Male,D30,WE,56,73.68421053,31,91.17647059,65,82.27848101,82.37972071,1
234,Male,D31,WE,59,77.63157895,11,32.35294118,34,43.03797468,51.00749827,0
235,Female,D31,WE,61,82.43243243,34,100,62,78.48101266,86.97114836,1
236,Female,D31,WE,65,85.52631579,31,91.17647059,60,75.94936709,84.21738449,1
237,Female,D32,WE,63,82.89473684,31,91.17647059,76,96.20253165,90.09124636,1
238,Male,D32,WE,64,84.21052632,33,97.05882353,72,91.13924051,90.80286345,1
239,Female,D33,WE,64,84.21052632,32,94.11764706,63,79.74683544,86.02500294,1
240,Male,D33,WE,61,80.26315789,31,91.17647059,55,69.62025316,80.35329388,1
241,Female,D34,WE,54,71.05263158,24,70.58823529,54,68.35443038,69.99843242,0
242,Female,D37,WE,68,89.47368421,33,97.05882353,73,92.40506329,92.97919034,1
243,Male,D37,WE,68,89.47368421,33,97.05882353,75,94.93670886,93.8230722,1
244,Female,D37,WE,68,89.47368421,32,94.11764706,77,97.46835443,93.6865619,1
245,Female,D39,WE,64,84.21052632,29,85.29411765,64,81.01265823,83.5057674,1
246,Male,D39,WE,50,65.78947368,20,58.82352941,47,61.03896104,61.88398804,0
247,Female,D40,WE,58,76.31578947,26,76.47058824,56,70.88607595,74.55748455,0
248,Female,D40,WE,62,81.57894737,30,88.23529412,65,82.27848101,84.0309075,1
249,Female,D41,WE,59,77.63157895,14,41.17647059,61,77.21518987,65.3410798,0
250,Male,D42,WE,59,76.62337662,34,100,65,82.27848101,86.30061921,1
251,Female,D42,WE,35,45.45454545,8,24.24242424,42,53.16455696,40.95384222,0
252,Female,D42,WE,24,31.16883117,11,32.35294118,48,60.75949367,41.42708867,0
253,Female,D42,WE,47,61.03896104,23,67.64705882,66,83.5443038,70.74344122,0
254,Female,D42,WE,63,81.81818182,34,100,67,84.81012658,88.8761028,1
255,Female,D42,WE,58,75.32467532,25,73.52941176,52,65.82278481,71.5589573,0
256,Male,D42,WE,44,57.14285714,14,41.17647059,54,68.35443038,55.55791937,0
257,Female,D42,WE,57,74.02597403,32,94.11764706,50,64.93506494,77.69289534,0
258,Male,D43,WE,55,71.42857143,25,73.52941176,65,82.27848101,75.74548807,0
259,Female,D43,WE,44,57.14285714,25,73.52941176,62,78.48101266,69.71776052,0
260,Female,D43,WE,49,63.63636364,28,82.35294118,65,82.27848101,76.08926194,0
261,Male,D43,WE,56,72.72727273,30,88.23529412,58,73.41772152,78.12676279,0
262,Male,D44,WE,38,49.35064935,28,82.35294118,52,67.53246753,66.41201935,0
263,Female,D45,WE,52,68.42105263,29,85.29411765,68,86.07594937,79.93037322,0
264,Female,D45,WE,62,80.51948052,34,100,64,83.11688312,87.87878788,1
265,Female,D45,WE,63,81.81818182,34,100,60,77.92207792,86.58008658,1
266,Female,D45,WE,61,79.22077922,32,94.11764706,66,85.71428571,86.350904,1
267,Male,D46,WE,63,81.81818182,33,97.05882353,68,88.31168831,89.06289789,1
268,Female,D49,WE,63,79.74683544,34,100,77,97.46835443,92.40506329,1
