ID,GENDER,BATCH_CODE,MODE,STATISTICS_76,PERCENTAGE_STATISTICS,TEXT_IMAGE_41,PERCENTAGE_TEXT_IMAGE,DATA_ENGINEERING_77,PERCENTAGE_DATA_ENGINEERING,DATA_VISUALIZATION_75,PERCENTAGE_DATA_VISUALIZATION,OUTPUT,TARGET
103,Female,DW23,WD,53,72.60273973,37,90.24390244,46,62.16216216,54,76.05633803,75.26628559,0
104,Male,DW23,WD,60,82.19178082,33,80.48780488,54,72.97297297,50,70.42253521,76.51877347,0
105,Female,DW23,WD,39,53.42465753,26,63.41463415,42,56.75675676,47,66.1971831,59.94830788,0
106,Male,DW23,WD,65,89.04109589,36,87.80487805,61,82.43243243,34,47.88732394,76.79143258,0
107,Female,DW23,WD,27,36.98630137,35,85.36585366,59,79.72972973,50,70.42253521,68.12610499,0
108,Female,DW24,WD,64,87.67123288,23,56.09756098,53,71.62162162,63,88.73239437,76.03070246,0
109,Female,DW24,WD,62,84.93150685,37,90.24390244,72,97.2972973,65,91.54929577,91.00550059,1
110,Male,DW24,WD,63,86.30136986,37,90.24390244,70,94.59459459,62,87.32394366,89.61595264,1
111,Male,DW24,WD,70,95.89041096,37,90.24390244,64,86.48648649,60,84.50704225,89.28196053,1
112,Female,DW24,WD,57,78.08219178,37,90.24390244,56,75.67567568,63,88.73239437,83.18354107,1
113,Male,DW24,WD,62,84.93150685,40,97.56097561,59,79.72972973,57,80.28169014,85.62597558,1
114,Female,DW24,WD,61,83.56164384,23,56.09756098,68,91.89189189,64,90.14084507,80.42298544,1
115,Female,DW24,WD,59,80.82191781,35,85.36585366,65,87.83783784,69,97.18309859,87.80217697,1
116,Female,DW24,WD,58,79.45205479,38,92.68292683,50,67.56756757,51,71.83098592,77.88338378,0
117,Male,DW24,WD,46,63.01369863,31,75.6097561,58,78.37837838,50,70.42253521,71.85609208,0
118,Female,DW24,WD,73,100,38,92.68292683,61,82.43243243,69,97.18309859,93.07461446,1
119,Female,DW24,WD,57,78.08219178,40,97.56097561,56,75.67567568,60,84.50704225,83.95647133,1
120,Male,DW24,WD,65,89.04109589,38,92.68292683,58,78.37837838,56,78.87323944,84.74391013,1
121,Male,DW24,WD,57,78.08219178,38,92.68292683,46,62.16216216,55,77.46478873,77.59801738,0
122,Female,DW24,WD,63,86.30136986,37,90.24390244,61,82.43243243,62,87.32394366,86.5754121,1
123,Male,DW24,WD,39,53.42465753,30,73.17073171,27,36.48648649,39,54.92957746,54.5028633,0
124,Female,DW24,WD,58,79.45205479,38,92.68292683,68,91.89189189,65,91.54929577,88.89404232,1
125,Female,DW24,WD,53,72.60273973,32,78.04878049,41,55.40540541,52,73.23943662,69.82409056,0
126,Male,DW24,WD,58,79.45205479,31,75.6097561,57,77.02702703,65,91.54929577,80.90953342,1
127,Male,DW24,WD,60,82.19178082,38,92.68292683,62,83.78378378,64,90.14084507,87.19983413,1
128,Male,DW25,WD,64,87.67123288,34,82.92682927,57,77.02702703,58,81.69014085,82.3288075,1
129,Female,DW25,WD,67,91.78082192,36,87.80487805,59,79.72972973,66,92.95774648,88.06829404,1
130,Male,DW25,WD,45,61.64383562,36,87.80487805,46,62.16216216,51,71.83098592,70.86046544,0
131,Female,DW25,WD,61,83.56164384,40,97.56097561,56,75.67567568,56,78.87323944,83.91788364,1
132,Female,DW25,WD,61,83.56164384,35,85.36585366,62,83.78378378,56,78.87323944,82.89613018,1
133,Female,DW25,WD,60,82.19178082,33,80.48780488,60,81.08108108,63,88.73239437,83.12326529,1
134,Female,DW25,WD,57,78.08219178,33,80.48780488,54,76.05633803,62,87.32394366,80.48756959,1
135,Female,DW25,WD,45,61.64383562,36,87.80487805,54,72.97297297,50,70.42253521,73.21105546,0
136,Male,DW25,WD,49,67.12328767,29,70.73170732,45,60.81081081,34,47.88732394,61.63828244,0
137,Female,DW25,WD,65,89.04109589,40,97.56097561,65,87.83783784,63,88.73239437,90.79307593,1
138,Female,DW25,WD,49,67.12328767,31,75.6097561,43,58.10810811,48,67.6056338,67.11169642,0
139,Female,DW25,WD,59,80.82191781,37,90.24390244,59,79.72972973,59,83.09859155,83.47353538,1
140,Female,DW25,WD,59,80.82191781,36,87.80487805,57,77.02702703,55,77.46478873,80.7796529,1
141,Female,DW25,WD,63,86.30136986,39,95.12195122,62,83.78378378,56,78.87323944,86.02008608,1
142,Female,DW25,WD,54,73.97260274,33,80.48780488,60,81.08108108,62,87.32394366,80.71635809,1
143,Male,DW25,WD,56,76.71232877,36,87.80487805,55,74.32432432,59,83.09859155,80.48503067,1
144,Female,DW25,WD,48,65.75342466,35,85.36585366,47,63.51351351,53,74.64788732,72.32016979,0
145,Male,DW26,WD,71,97.26027397,40,97.56097561,71,95.94594595,67,94.36619718,96.28334818,1
146,Female,DW26,WD,57,78.08219178,30,73.17073171,60,81.08108108,63,88.73239437,80.26659973,1
147,Male,DW26,WD,50,68.49315068,30,73.17073171,54,72.97297297,54,76.05633803,72.67329835,0
148,Male,DW26,WD,69,94.52054795,35,85.36585366,66,89.18918919,66,92.95774648,90.50833432,1
149,Female,DW26,WD,50,68.49315068,39,95.12195122,64,86.48648649,54,76.05633803,81.5394816,1
150,Female,DW26,WD,50,68.49315068,35,85.36585366,47,63.51351351,52,73.23943662,72.65298862,0
151,Male,DW27,WD,61,83.56164384,36,87.80487805,64,86.48648649,66,92.95774648,87.70268871,1
152,Female,DW27,WD,59,80.82191781,38,92.68292683,68,91.89189189,62,87.32394366,88.18017005,1
153,Female,DW27,WD,58,79.45205479,41,100,66,89.18918919,71,100,92.160311,1
154,Female,DW27,WD,58,79.45205479,20,48.7804878,57,77.02702703,39,54.92957746,65.04728677,0
155,Female,DW27,WD,20,27.39726027,32,78.04878049,48,64.86486486,43,60.56338028,57.71857148,0
156,Male,DW27,WD,34,46.57534247,33,80.48780488,51,68.91891892,65,91.54929577,71.88284051,0
157,Male,DW27,WD,61,83.56164384,40,97.56097561,62,83.78378378,62,87.32394366,88.05758672,1
158,Female,DW27,WD,37,50.68493151,10,24.3902439,35,47.2972973,54,76.05633803,49.60720268,0
159,Male,DW27,WD,65,89.04109589,37,90.24390244,57,77.02702703,55,77.46478873,83.44420352,1
160,Male,DW27,WD,60,82.19178082,30,73.17073171,49,66.21621622,46,64.78873239,71.59186528,0
161,Male,DW27,WD,62,84.93150685,36,87.80487805,69,93.24324324,61,85.91549296,87.97378027,1
162,Female,DW27,WD,56,76.71232877,38,92.68292683,61,82.43243243,64,90.14084507,85.49213327,1
163,Female,DW27,WD,45,61.64383562,24,58.53658537,41,55.40540541,47,66.1971831,60.44575237,0
164,Male,DW27,WD,56,78.87323944,33,80.48780488,59,79.72972973,48,67.6056338,76.67410196,0
165,Male,DW27,WD,60,82.19178082,20,48.7804878,40,54.05405405,30,42.25352113,56.81996095,0
166,Female,DW27,WD,67,91.78082192,40,97.56097561,64,87.67123288,64,90.14084507,91.78846887,1
167,Male,DW28,WD,61,83.56164384,41,100,58,78.37837838,54,76.05633803,84.49909006,1
168,Male,DW28,WD,72,98.63013699,37,90.24390244,63,85.13513514,65,91.54929577,91.38961758,1
169,Male,DW28,WD,69,94.52054795,37,90.24390244,61,82.43243243,60,84.50704225,87.92598127,1
170,Male,DW28,WD,60,82.19178082,37,90.24390244,40,54.05405405,49,69.01408451,73.87595546,0
171,Male,DW28,WD,53,72.60273973,33,80.48780488,49,66.21621622,52,73.23943662,73.13654936,0
172,Male,DW28,WD,58,79.45205479,19,46.34146341,38,51.35135135,43,60.56338028,59.42706246,0
173,Female,DW28,WD,65,89.04109589,41,100,70,94.59459459,64,90.14084507,93.44413389,1
174,Female,DW28,WD,59,80.82191781,38,92.68292683,66,89.18918919,65,91.54929577,88.5608324,1
175,Male,DW28,WD,62,84.93150685,29,70.73170732,61,82.43243243,64,90.14084507,82.05912292,1
176,Female,DW28,WD,69,94.52054795,41,100,64,86.48648649,69,97.18309859,94.54753326,1
177,Male,DW28,WD,66,90.4109589,37,90.24390244,65,87.83783784,66,92.95774648,90.36261141,1
178,Female,DW28,WD,70,95.89041096,38,92.68292683,60,81.08108108,61,85.91549296,88.89247796,1
179,Female,DW28,WD,65,89.04109589,32,84.21052632,61,83.56164384,63,88.73239437,86.3864151,1
180,Female,DW28,WD,50,68.49315068,29,70.73170732,61,82.43243243,58,81.69014085,75.83685782,0
181,Male,DW28,WD,30,41.09589041,17,41.46341463,35,47.2972973,45,63.38028169,48.30922101,0
182,Male,DW28,WD,38,52.05479452,22,53.65853659,42,56.75675676,47,66.1971831,57.16681774,0
183,Male,DW29,WD,69,94.52054795,32,78.04878049,66,89.18918919,64,90.14084507,87.97484067,1
184,Female,DW31,WD,58,79.45205479,38,92.68292683,50,70.42253521,55,78.57142857,80.28223635,1
185,Male,DW31,WD,68,93.15068493,37,90.24390244,54,76.05633803,53,75.71428571,83.79130278,1
186,Female,DW32,WD,57,78.08219178,34,82.92682927,57,80.28169014,50,71.42857143,78.17982065,0
187,Female,DW32,WD,59,80.82191781,37,90.24390244,55,77.46478873,58,82.85714286,82.84693796,1
188,Male,DW32,WD,56,76.71232877,34,82.92682927,57,80.28169014,56,78.87323944,79.6985219,0
189,Male,DW33,WD,61,83.56164384,38,92.68292683,61,82.43243243,59,83.09859155,85.44389866,1
190,Female,DW33,WD,65,89.04109589,35,85.36585366,55,74.32432432,33,46.47887324,73.80253678,0
191,Male,DW33,WD,65,89.04109589,34,82.92682927,60,81.08108108,55,77.46478873,82.62844874,1
192,Male,DW33,WD,41,56.16438356,17,41.46341463,58,78.37837838,63,88.73239437,66.18464274,0
193,Female,DW33,WD,71,97.26027397,41,100,65,87.83783784,66,92.95774648,94.51396457,1
194,Female,DW33,WD,71,97.26027397,40,97.56097561,58,81.69014085,59,84.28571429,90.19927618,1
195,Female,D14AB,WE,62,81.57894737,40,97.56097561,63,81.81818182,67,89.33333333,87.57285953,1
196,Female,D14AB,WE,63,82.89473684,26,63.41463415,43,55.84415584,53,70.66666667,68.20504837,0
197,Male,D14AB,WE,66,86.84210526,38,92.68292683,60,77.92207792,64,85.33333333,85.69511084,1
198,Female,D16,WE,70,92.10526316,38,92.68292683,65,84.41558442,67,89.33333333,89.63427693,1
199,Female,D16,WE,66,86.84210526,30,73.17073171,54,70.12987013,59,78.66666667,77.20234344,0
200,Male,D17,WE,74,97.36842105,38,92.68292683,70,90.90909091,67,89.33333333,92.57344303,1
201,Female,D17,WE,52,68.42105263,26,63.41463415,39,50.64935065,47,62.66666667,61.28792602,0
202,Male,D17,WE,74,97.36842105,40,97.56097561,67,87.01298701,65,86.66666667,92.15226259,1
203,Female,D18,WE,32,42.10526316,25,60.97560976,51,66.23376623,51,68,59.32865979,0
204,Female,D18,WE,72,94.73684211,38,92.68292683,62,80.51948052,64,85.33333333,88.3181457,1
205,Male,D19,WE,76,100,35,85.36585366,64,83.11688312,68,90.66666667,89.78735086,1
206,Female,D19,WE,70,92.10526316,38,92.68292683,60,77.92207792,65,86.66666667,87.34423364,1
207,Female,D19,WE,59,77.63157895,30,73.17073171,52,67.53246753,63,84,75.58369455,0
208,Female,D20,WE,72,94.73684211,36,87.80487805,55,71.42857143,59,78.66666667,83.15923956,1
209,Female,D20,WE,71,93.42105263,37,90.24390244,65,85.52631579,62,82.66666667,87.96448438,1
210,Male,D20,WE,33,43.42105263,15,36.58536585,28,36.36363636,33,44,40.09251371,0
211,Female,D20,WE,68,89.47368421,40,97.56097561,74,96.1038961,73,97.33333333,95.11797231,1
212,Male,D21,WE,70,92.10526316,41,100,67,87.01298701,66,88,91.77956254,1
213,Female,D21,WE,66,86.84210526,41,100,67,87.01298701,68,90.66666667,91.13043974,1
214,Male,D22,WE,64,84.21052632,34,82.92682927,62,80.51948052,51,68,78.91420903,0
215,Female,D22,WE,72,94.73684211,35,85.36585366,64,83.11688312,61,81.33333333,86.13822805,1
216,Female,D24,WE,52,68.42105263,32,78.04878049,50,64.93506494,56,74.66666667,71.51789118,0
217,Male,D24,WE,64,84.21052632,25,60.97560976,56,72.72727273,62,82.66666667,75.14501887,0
218,Male,D25,WE,65,85.52631579,36,87.80487805,37,48.05194805,44,58.66666667,70.01245214,0
219,Male,D25,WE,61,80.26315789,30,73.17073171,62,80.51948052,61,81.33333333,78.82167586,0
220,Male,D25,WE,74,97.36842105,38,92.68292683,61,79.22077922,55,73.33333333,85.65136511,1
221,Male,D26,WE,70,92.10526316,38,92.68292683,58,75.32467532,55,73.33333333,83.36154966,1
222,Female,D26,WE,69,90.78947368,39,95.12195122,65,84.41558442,66,88,89.58175233,1
223,Female,D27,WE,64,84.21052632,38,92.68292683,66,85.71428571,60,80,85.65193471,1
224,Male,D27,WE,66,86.84210526,31,75.6097561,69,89.61038961,73,97.33333333,87.34889608,1
225,Female,D27,WE,59,77.63157895,23,56.09756098,58,75.32467532,41,54.66666667,65.93012048,0
226,Female,D27,WE,70,92.10526316,40,97.56097561,52,67.53246753,56,74.66666667,82.96634324,1
227,Male,D27,WE,63,82.89473684,32,78.04878049,60,77.92207792,63,84,80.71639881,1
228,Female,D27,WE,68,89.47368421,38,92.68292683,62,80.51948052,65,86.66666667,87.33568956,1
229,Male,D30,WE,36,47.36842105,36,87.80487805,39,52.7027027,31,43.66197183,57.88449341,0
