ID,GENDER,BATCH_CODE,MODE,STATISTICS_76,PERCENTAGE_STATISTICS,TEXT_IMAGE_41,PERCENTAGE_TEXT_IMAGE,DATA_ENGINEERING_77,PERCENTAGE_DATA_ENGINEERING,DATA_VISUALIZATION_75,PERCENTAGE_DATA_VISUALIZATION,OUTPUT,TARGET
27,Male,DW13,WD,63,86.30136986,38,92.68292683,62,83.78378378,58,81.69014085,86.11455533,1
28,Male,DW13,WD,66,90.4109589,38,92.68292683,61,82.43243243,64,90.14084507,88.91679081,1
29,Male,DW14,WD,67,91.78082192,41,100,71,95.94594595,66,92.95774648,95.17112859,1
30,Male,DW14,WD,71,97.26027397,40,97.56097561,65,87.83783784,58,81.69014085,91.08730707,1
31,Female,DW14,WD,69,94.52054795,40,97.56097561,67,90.54054054,60,84.50704225,91.78227659,1
32,Male,DW14,WD,71,97.26027397,38,92.68292683,67,90.54054054,64,90.14084507,92.6561466,1
33,Female,DW15,WD,54,73.97260274,22,53.65853659,30,42.25352113,57,80.28169014,62.54158765,0
34,Male,DW15,WD,61,83.56164384,38,92.68292683,57,77.02702703,64,90.14084507,85.85311069,1
35,Male,DW15,WD,67,91.78082192,40,97.56097561,69,93.24324324,63,88.73239437,92.82935878,1
36,Male,DW15,WD,65,89.04109589,38,92.68292683,68,91.89189189,61,85.91549296,89.88285189,1
37,Female,DW15,WD,65,89.04109589,37,92.5,58,78.37837838,62,87.32394366,86.81085448,1
38,Male,DW15,WD,69,94.52054795,32,78.04878049,65,87.83783784,64,90.14084507,87.63700284,1
39,Male,DW16,WD,68,93.15068493,33,80.48780488,70,94.59459459,64,90.14084507,89.59348237,1
40,Female,DW16,WD,73,100,41,100,68,91.89189189,68,95.77464789,96.91663494,1
41,Female,DW16,WD,56,76.71232877,26,63.41463415,48,64.86486486,47,66.1971831,67.79725272,0
42,Female,DW16,WD,55,75.34246575,33,80.48780488,55,74.32432432,58,81.69014085,77.96118395,0
43,Male,DW17,WD,59,83.09859155,27,65.85365854,63,85.13513514,57,80.28169014,78.59226884,0
44,Female,DW17,WD,63,86.30136986,34,82.92682927,44,59.45945946,60,84.50704225,78.29867521,0
